Payment_type,VenderID,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
CREDIT_CARD,FOUR,1.0,1509,0.0,0,0.0,0,31.21,1,27.56,1,27.22,1,18.0,2,17.5,6,4.5,9,22.77,1,20.0,3,18.92,2,187.06,1,134.06,1,120.11,1,32.52,1,28.8,1,16.5,1,775.0,1,774.0,1,768.0,1,1.0,3.6959512456510932,3.4440686609509608,20.925324355947648,0.6467197789823559,20.88667992047714,1509
CASH,FOUR,3.0,1,2.0,2,1.0,716,33.97,1,30.42,1,27.49,1,4.5,1,1.0,213,0.5,87,0.0,719,0.0,0,0.0,0,137.8,1,108.56,1,85.3,1,25.0,1,10.5,4,5.76,18,797.0,1,782.0,1,750.0,1,1.0055632823365785,2.8046173817259215,0.0,14.581452646905424,0.3375521515274578,15.226703755215578,719
CREDIT_CARD,ONE,9.0,11,8.0,2,7.0,6,833.1,1,830.8,1,801.4,1,30.5,1,26.0,1,20.2,1,400.0,1,389.0,1,375.0,1,5150.0,1,723.12,1,684.35,1,576.0,1,403.2,1,400.0,1,1964.0,1,1519.0,1,1297.0,1,1.2050984189124836,2.8970716629770963,2.6275825192482287,17.000815329427272,0.3470082827449416,14.110937372161294,16206946
CASH,ONE,9.0,5,8.0,3,7.0,11,1061.2,1,943.5,1,910.8,1,81.92,1,66.66,7,18.0,1,9.0,1,6.56,1,6.05,1,349116.78,1,234632.69,1,8019.6,1,950.7,1,918.25,1,911.61,1,988.0,1,984.0,1,958.0,1,1.2977227131508857,2.4683741316010117,5.500036707912869E-6,12.854112182931864,0.21224975453566824,11.288843206162143,6847227
NO_CHARGE,ONE,7.0,1,6.0,273,5.0,254,252.1,1,189.6,1,152.9,1,96.64,1,69.8,2,60.0,1,166.02,1,47.45,1,13.81,1,214750.23,1,200006.3,1,8017.3,1,1650.0,1,980.8,1,918.23,1,986.0,1,854.0,1,844.0,1,1.2052962094272528,2.92984153930544,0.005149202764579945,16.506249527124158,0.48915485856283575,12.421404252099569,264340
DISPUTE,ONE,6.0,25,5.0,74,4.0,1292,65.1,1,64.2,1,63.5,1,40.0,1,17.9,1,4.5,522,11.7,1,11.22,1,10.02,1,1124.8,1,960.2,1,930.3,1,910.9,1,765.76,2,734.37,1,865.0,1,835.0,1,814.0,1,1.1983650828406687,3.196659915334647,0.005952850424210596,15.898297569520473,0.5667537953434056,14.523757389971536,68505
CREDIT_CARD,TWO,192.0,1,9.0,110,8.0,127,325.28,1,213.44,1,204.54,1,4.5,97682,3.4,1,1.8,5,496.0,1,441.71,1,441.11,1,506.57,1,499.8,3,499.5,1,143.0,1,99.0,3,96.0,1,2158.0,6,2157.0,11,2156.0,14,1.8792452805455495,3.1396680240765433,2.7196023903135402,17.8154577685073,0.4075776907377949,18.496301341715462,21360043
CASH,TWO,9.0,18,8.0,30,7.0,28,189483.84,1,484.91,1,251.64,1,25.0,1,5.3,2,4.8,25,3.7,1,3.1,1,2.4,1,5726.3,1,4026.3,1,2694.8,1,244.0,1,159.0,1,103.32,1,8852.0,1,7041.0,1,5697.0,1,1.8866690748048325,2.6789023263095726,3.133349249429701E-6,13.230908161817263,0.23242913721817623,19.201253514631734,9146762
NO_CHARGE,TWO,8.0,1,6.0,773,5.0,1739,13.26,1,12.04,1,4.32,1,0.0,11031,-0.5,4273,0.0,0,2.8,1,0.7,1,0.6,1,0.0,1,-0.31,3,-0.33,1,0.0,20840,0.0,0,0.0,0,1439.0,5,1438.0,5,1437.0,2,1.8703588961441304,0.28453692105357226,-0.0692860178926767,-9.890195295743768,-0.051303573164038295,5.142748200753062,20981
DISPUTE,TWO,8.0,2,7.0,1,6.0,490,35.03,1,20.36,1,20.05,1,0.0,4140,-0.2,1,-0.5,1764,4.0,1,1.3,1,0.0,8612,0.0,0,-0.31,2,-0.35,1,0.0,8626,0.0,0,0.0,0,1438.0,8,1437.0,4,1436.0,2,2.0118349994254854,0.33961851673812193,-0.09259795528930398,-10.788426045616454,-0.0762955372900329,8.160059749511662,8703
