FROM,DayOfWeek,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,RowEvaluated
Bronx,WEEKEND,8.0,1,6.0,503,5.0,771,84.77,1,81.16,1,75.84,1,1.0,11,0.5,6591,0.11,1,180.0,1,135.0,1,100.0,1,507.3,1,482.17,1,481.85,1,1.592496264733551,4.335653896436279,0.8636999003064302,19.40316840517957,18071
EWR,WEEKEND,9.0,6,8.0,3,7.0,1,54.07,1,38.6,1,35.0,2,0.5,24,0.0,1125,0.0,0,115.0,1,100.0,1,97.0,2,288.35,1,278.93,1,253.3,1,1.557876414273281,1.925091324317341,9.663045141155353,89.16105036988685,1149
Staten Island,WEEKEND,8.0,1,6.0,9,5.0,11,55.1,1,35.87,1,30.21,1,1.0,1,0.5,88,0.0,190,93.0,1,25.86,1,24.05,1,240.8,1,176.32,1,164.4,1,1.5964285714285715,5.599285888671875,2.376464407784598,38.28181501116072,280
Queens,WEEKEND,9.0,4,8.0,11,7.0,3,267.7,1,195.9,1,178.44,1,69.8,2,4.5,2,3.5,1,322.0,1,270.0,1,260.0,1,1420.8,1,1124.8,1,953.67,1,1.6288000461853767,11.069696042490547,4.8004976474323815,42.314506249458766,866075
Unknown,WEEKEND,9.0,6,8.0,11,7.0,15,302.8,1,301.9,1,252.5,1,10.5,1,1.1,2,1.0,370,277.88,1,250.0,1,242.0,1,8016.8,1,984.3,1,879.3,1,1.4816709898753242,2.6302634193791317,2.0249594699188354,18.460022173876663,239020
Manhattan,WEEKEND,9.0,28,8.0,30,7.0,40,1061.2,1,248.6,1,239.57,1,81.92,1,30.5,1,20.2,1,411.5,1,411.0,1,410.0,1,349116.78,1,8019.6,1,4023.8,1,1.6587978104498133,2.4050461238516165,1.5011677812126798,13.655568861841989,13261902
Brooklyn,WEEKDAY,9.0,1,8.0,3,7.0,1,204.6,1,189.6,1,126.5,1,4.5,756,1.8,1,1.5,1,260.2,1,200.8,1,200.0,1,2759.37,3,742.32,1,725.3,1,1.576770470930024,3.591759397080449,1.7704779352426383,17.907003201104693,446096
Bronx,WEEKDAY,9.0,1,7.0,1,6.0,1329,118.15,1,110.29,1,96.99,1,4.5,45,1.3,1,1.0,6424,220.0,1,130.0,1,120.0,1,500.3,1,490.8,1,485.58,1,1.6210551418956518,4.775285099631681,0.8779565734386179,21.973841715466758,37739
EWR,WEEKDAY,9.0,15,8.0,11,7.0,2,48.2,1,43.3,1,42.7,1,4.5,15,1.0,110,0.5,54,175.0,1,146.0,1,132.0,1,656.15,1,570.7,1,403.35,1,1.4698706099815158,1.9813086659542514,11.134473197781885,90.99772989833642,2705
Staten Island,WEEKDAY,6.0,13,5.0,10,4.0,5,124.93,1,79.56,1,72.28,1,4.5,2,1.0,59,0.5,157,144.0,1,99.0,1,75.0,2,498.3,1,495.3,1,461.3,1,1.502803738317757,7.808953344042056,4.101140387704439,52.36792129088785,535
Queens,WEEKDAY,9.0,17,8.0,20,7.0,14,189483.84,1,910.8,1,611.7,1,96.64,1,66.66,1,6.52,2,330.0,1,294.7,1,260.0,1,3031.29,1,3006.8,1,2417.81,1,1.619117878967476,11.244989079521867,5.384098275074064,45.31326142898359,2492107
Unknown,WEEKDAY,9.0,21,8.0,27,7.0,34,325.28,1,211.6,2,181.04,1,40.0,1,26.0,1,25.0,1,389.0,1,375.0,1,310.0,1,8017.3,1,5726.3,1,5150.0,1,1.3804255142150033,2.591354852746613,2.2052000627120734,18.955960766559105,625079
Manhattan,WEEKDAY,192.0,1,9.0,44,8.0,47,943.5,1,833.1,1,830.8,1,66.66,6,60.0,1,19.0,1,496.0,1,441.71,1,441.11,1,234632.69,1,214750.23,1,200006.3,1,1.5806491960403988,2.2965109077168546,1.6820531202670586,14.299226358676515,35697938
Brooklyn,WEEKEND,9.0,1,6.0,6433,5.0,10782,116.09,1,87.53,1,81.3,1,1.5,1,1.0,448,0.8,9,362.7,1,282.0,1,251.0,1,510.3,1,495.3,1,480.3,1,1.629811971869608,3.4610430667527283,1.7144262125641772,16.817231552613706,237039
